metric;run;time_ms;peak_kb
keypair_generation;1;0.7515000179409981;11.2841796875
keypair_generation;2;0.6857998669147491;4.9228515625
keypair_generation;3;0.601199921220541;4.9228515625
keypair_generation;4;0.7230001501739025;4.9228515625
keypair_generation;5;0.386199913918972;4.9228515625
keypair_generation;6;0.5910000763833523;4.9228515625
keypair_generation;7;0.37170015275478363;4.9228515625
keypair_generation;8;0.498100183904171;4.9228515625
keypair_generation;9;0.3557000309228897;4.9228515625
keypair_generation;10;0.3752000629901886;5.41015625
keypair_generation;11;0.5157003179192543;4.9228515625
keypair_generation;12;0.5227001383900642;4.9228515625
keypair_generation;13;0.7341001182794571;4.9228515625
keypair_generation;14;0.8522002026438713;4.9228515625
keypair_generation;15;0.5593998357653618;4.9228515625
keypair_generation;16;0.5650999955832958;4.9228515625
keypair_generation;17;0.4227999597787857;4.9228515625
keypair_generation;18;0.5173999816179276;4.9228515625
keypair_generation;19;0.3820001147687435;4.9228515625
keypair_generation;20;0.3715003840625286;4.9228515625
encapsulation;1;0.7973001338541508;10.064453125
encapsulation;2;0.476200133562088;3.759765625
encapsulation;3;0.386199913918972;3.759765625
encapsulation;4;0.4047001712024212;3.759765625
encapsulation;5;0.38930028676986694;3.759765625
encapsulation;6;0.40029967203736305;3.759765625
encapsulation;7;0.3832997754216194;3.759765625
encapsulation;8;0.37899985909461975;3.759765625
encapsulation;9;0.3904998302459717;3.759765625
encapsulation;10;0.5215001292526722;3.759765625
encapsulation;11;0.5667000077664852;3.759765625
encapsulation;12;0.8094999939203262;3.759765625
encapsulation;13;0.4012999124825001;3.759765625
encapsulation;14;0.4115002229809761;3.759765625
encapsulation;15;0.38220034912228584;3.759765625
encapsulation;16;0.47580013051629066;3.759765625
encapsulation;17;0.381499994546175;3.759765625
encapsulation;18;0.3971001133322716;3.759765625
encapsulation;19;0.3839000128209591;3.759765625
encapsulation;20;0.61370013281703;3.759765625
decapsulation;1;0.5147000774741173;2.1171875
decapsulation;2;0.5595996044576168;1.609375
decapsulation;3;0.5128998309373856;1.609375
decapsulation;4;0.741099938750267;1.609375
decapsulation;5;0.5322000943124294;1.609375
decapsulation;6;0.4460001364350319;1.609375
decapsulation;7;0.46399980783462524;1.609375
decapsulation;8;0.45419996604323387;1.609375
decapsulation;9;0.7158997468650341;1.609375
decapsulation;10;0.7517002522945404;1.609375
decapsulation;11;0.48189982771873474;1.609375
decapsulation;12;0.46710018068552017;1.609375
decapsulation;13;0.48159994184970856;2.2763671875
decapsulation;14;0.4887999966740608;1.609375
decapsulation;15;0.5061998963356018;1.609375
decapsulation;16;0.6386996246874332;1.609375
decapsulation;17;0.47590024769306183;1.609375
decapsulation;18;0.4966999404132366;1.609375
decapsulation;19;0.5987999029457569;1.609375
decapsulation;20;0.476200133562088;1.609375
