metric;run;time_ms
keypair_generation;1;316.19209982454777
keypair_generation;2;1002.842599991709
keypair_generation;3;133.9189000427723
keypair_generation;4;481.54830001294613
keypair_generation;5;184.31989988312125
keypair_generation;6;239.47229981422424
keypair_generation;7;1097.8176998905838
keypair_generation;8;439.38650004565716
keypair_generation;9;747.261700220406
keypair_generation;10;1078.977799974382
keypair_generation;11;420.5221002921462
keypair_generation;12;206.38199988752604
keypair_generation;13;783.5062998346984
keypair_generation;14;248.45900014042854
keypair_generation;15;329.2113998904824
keypair_generation;16;422.22659988328815
keypair_generation;17;852.5062003172934
keypair_generation;18;391.76709996536374
keypair_generation;19;201.72669971361756
keypair_generation;20;677.4364002048969
signing;1;7.7219996601343155
signing;2;4.670700058341026
signing;3;3.9923000149428844
signing;4;3.5971002653241158
signing;5;3.6851996555924416
signing;6;6.241799797862768
signing;7;3.5171997733414173
signing;8;2.687400206923485
signing;9;6.33870018646121
signing;10;3.071499988436699
signing;11;4.346000030636787
signing;12;3.772200085222721
signing;13;4.648999776691198
signing;14;6.278700195252895
signing;15;6.0777002945542336
signing;16;4.044899716973305
signing;17;3.017599694430828
signing;18;4.783200100064278
signing;19;3.4920996986329556
signing;20;4.020600114017725
